Headline;Newspaper
As Covid Surges, Experts Say U.S. Booster Effort Is Far Behind;The New York Time
We Desperately Need Schools to Get Back to Normal;The New York Time
Yes, the Graat Books Make Us Better People;The New York Time
See Where 12 Million U.S. Employees Are Affected by Vaccine Mandates;The New York Time
A federal appeals court reinstated a Biden administration rule requireing that large companies mandate vaccines.;The New York Time
With Omicron, U.S. Testing Capacity Faces Intense Pressure;The New York Time
Biden Struggles to Beat Back a Resurgent Virus Once Again;The New York Time
What are the climate risks where you live? Look up any location to find out.;The New York Time
In Orangutan Parenting, the Kids Can Get Their Own Dinner;The New York Time
Appeals Court Reinstates OSHA’s Vaccine Mandate for Workers at Larger Businesses;The New York Time
Ding dong merrily outside: carol concerts go alfresco as UK Covid restrictions hit;The Guardian
Britain is hurtling towards lockdown by stealth – so Rishi Sunak had better act fast;The Guardian
The Brexit ’n’ Boris formula was a winner for the Tories. Now it’s falling apart;The Guardian
People are angry – and now we’ve shown that Johnson’s Tories can be beaten anywhere;The Guardian
Ministers reportedly considering Omicron ‘circuit breaker’ in England;The Guardian
Duchess of Argyll sex scandal retold in new BBC drama series;The Guardian
Aston Villa Covid outbreak forces game with Burnley to be postpone;The Guardian
Boosters are not enough: Britain needs a strong, immediate plan for infection control;The Guardian
Biden commemorates 49th anniversary of crash that killed his first wife;The Guardian
Trump condemned by Anti-Defamation League chief for antisemitic tropes;The Guardian
Families get good news on schools but a longer wait on vaccines for youngest;The Washington Post
In Amsterdam, a community of floating homes shows the world how to live alongside nature;The Washington Post
Offensive place names dot the American landscape. Efforts to change them are about to accelerate;The Washington Post
Virginia police say they are investigating man as possible serial killer after four victims found dead;The Washington Post
Man who attacked police with fire extinguisher in Capitol riot gets toughest Jan. 6 sentence yet;The Washington Post
Bookstore workers across the U.S. are thinking about unionizing — including at D.C.’s Politics and Prose;The Washington Post
Climate change is shrinking the chance of a white Christmas, this year included;The Washington Post
Why police end up chasing camels around Christmas time;The Washington Post
The chocolate orange Swiss roll recipe takes all the stress out of the seasonal treat;The Washington Post
U.S. airstrikes on Taliban surged in war’s final month;The Washington Post
Unvaccinated mother-of-two, 38, dies from Covid after ignoring pleas to get vaccinated 'because of things she had read on social media';The Daily Mail
UK should lock down BEFORE Christmas or it will be 'too late', warns SAGE adviser amid calls for a two-week ban on household mixing 'very soon' to stop Omicron Covid hospitalisations peaking at 3,000 a day and Cabinet is briefed by scientists;The Daily Mail
Omicron Covid cases in South African ground zero 'peaked on 6 December' - three weeks after start of wave - but they are still rising in rest of the country;The Daily Mail
Bear Grylls regrets killing 'way too many animals' in his early TV survival shows and says he is no longer a climate change sceptic;The Daily Mail
Bouncer who was called the N-word in viral video calls 14-week jail sentence for drunken clubber who launched racist tirade 'a valuable lesson' ;The Daily Mail
Dash to get into France before ban on Brits started at midnight causes a huge tailback of hundreds of trucks outside Dover;The Daily Mail
Ten-day isolation period for people infected with Covid SHOULD be cut to seven days with a negative test to be released, says Neil Ferguson;The Daily Mail
The Queen, 95, is set to skip her annual Christmas trip to Sandringham - meaning she'll be apart from William, Kate and her - grandchildren but has left Windsor for the first time since October ;The Daily Mail
Forget Apple and Tesla... a SOUP maker hailed as 'near perfect' is crowned best tech performer of 2021 ;The Daily Mail
ANGUS DALGLEISH: I believe a climate of dread around Covid is deliberately being manufactured by scientists and my fellow medics;The Daily Mail
Why President Biden invited a high school football team to the White House;USA Today
Should you work in retirement? Consider these pros and cons;USA Today
5 ‘must play’ 2021 VR games to play over the holiday break;USA Today
Wingsuit flyer dives into active volcano;USA Today
Woman hugs her adopted family after 20 years apart;Usa Today
Child abuse charge dismissed against Alabama Shakes drummer;USA Today
Wake up, whiners: COVID pandemic still raging and NFL trying to adapt;USA Today
The ultimate Christmas music guide: 50 best songs;USA Today
Can't find cream cheese? How to get $20 to replace holiday cheesecake;USA Today
Need money help? We got you. Advice on finances delivered right to your inbox. Sign up here;USA Today
"2021 Teipei Cultural and Creative Sky Creative Festival ""Boundary Breaking""";Liberty Times
Great temperature difference and immune loss? Immununity probiotics to support;Liberty Times
Both disagree votes broke 4 million! 4:0 win the final seal;Liberty Times
Biden's large-scale enterprise vaccine injunction orders th U.S court to reasume execution;Liberty Times
Portoguese medical nurses prentend to be a Christmas old man to help children vaccinate happlily;Liberty Times
Saturday's voting referendum passed the threshold of 4.956367 votes;Liberty Times
"Tennis"" competes for the championship for 2 weeks! Night market king Zeng Junxin vs. Portuguese landlords";Liberty Times
The CCP is choking to hit Lithuania;Liberty Times
Is it normal for postpartum hair loss? Doctor: Beware of hair loss for more than 1 year;Liberty Times
Sony PS5 is out of stack too serious? Japanese sales hit a record low and sold less than 200 units a day;Liberty Times
