,headline,newspaper,question,exclamation,starts_with_num,headline_words
0,as covid surges experts booster effort behind,The New York Times,0,0,0,7
1,we desperately schools normal,The New York Times,0,0,0,4
2,yes graat books people,The New York Times,0,0,0,4
3,see 12 employees vaccine mandates,The New York Times,0,0,0,5
4,a federal appeals court reinstated biden administration rule requireing large companies mandate vaccines,The New York Times,0,0,0,13
5,with omicron testing capacity faces intense pressure,The New York Times,0,0,0,7
6,biden struggles beat resurgent virus again,The New York Times,0,0,0,6
7,what climate risks live location out,The New York Times,1,0,0,6
8,in orangutan parenting kids dinner,The New York Times,0,0,0,5
9,appeals court reinstates oshas vaccine mandate workers larger businesses,The New York Times,0,0,0,9
10,ding dong merrily carol concerts alfresco uk covid restrictions hit,The Guardian,0,0,0,10
11,britain hurtling lockdown stealth rishi sunak fast,The Guardian,0,0,0,7
12,the brexit boris formula winner tories falling apart,The Guardian,0,0,0,8
13,people angry weve johnsons tories beaten anywhere,The Guardian,0,0,0,7
14,ministers reportedly omicron circuit breaker england,The Guardian,0,0,0,6
15,duchess argyll sex scandal retold bbc drama series,The Guardian,0,0,0,8
16,aston villa covid outbreak forces game burnley postpone,The Guardian,0,0,0,8
17,boosters britain strong plan infection control,The Guardian,0,0,0,6
18,biden commemorates 49th anniversary crash killed wife,The Guardian,0,0,0,7
19,trump condemned anti defamation league chief antisemitic tropes,The Guardian,0,0,0,8
20,families good news schools longer wait vaccines youngest,The Washington Post,0,0,0,8
21,in amsterdam community floating homes live nature,The Washington Post,0,0,0,7
22,offensive place names dot american landscape efforts change accelerate,The Washington Post,0,0,0,9
23,virginia police investigating man serial killer victims dead,The Washington Post,0,0,0,8
24,man attacked police extinguisher capitol riot toughest jan 6 sentence yet,The Washington Post,0,0,0,11
25,bookstore workers thinking unionizing including dcs politics prose,The Washington Post,0,0,0,8
26,climate change shrinking chance white christmas year included,The Washington Post,0,0,0,8
27,why police chasing camels christmas time,The Washington Post,1,0,0,6
28,the chocolate orange swiss roll recipe takes stress seasonal treat,The Washington Post,0,0,0,10
29,us airstrikes taliban surged wars final month,The Washington Post,0,0,0,7
30,unvaccinated mother 38 dies covid ignoring pleas vaccinated read social media,The Daily Mail,0,0,0,11
31,uk lock christmas late warns sage adviser calls week ban household mixing omicron covid hospitalisations peaking 3000 day cabinet briefed scientists,The Daily Mail,0,0,0,21
32,omicron covid cases south african ground peaked 6 december weeks start wave rising rest country,The Daily Mail,0,0,0,15
33,bear grylls regrets killing animals early tv survival longer climate change sceptic,The Daily Mail,0,0,0,12
34,bouncer called word viral video calls 14 week jail sentence drunken clubber launched racist tirade valuable lesson ,The Daily Mail,0,0,0,17
35,dash france ban brits started midnight huge tailback hundreds trucks dover,The Daily Mail,0,0,0,11
36,ten day isolation period people infected covid cut days negative test released neil ferguson,The Daily Mail,0,0,0,14
37,the queen 95 set skip annual christmas trip sandringham meaning shell william kate grandchildren left windsor time october ,The Daily Mail,0,0,0,18
38,forget apple tesla soup maker hailed perfect crowned tech performer 2021 ,The Daily Mail,0,0,0,11
39,angus dalgleish climate dread covid deliberately manufactured scientists fellow medics,The Daily Mail,0,0,0,10
40,why president biden invited high school football team white house,USA Today,1,0,0,10
41,should work retirement pros cons,USA Today,1,0,0,5
42,5 play 2021 vr games play holiday break,USA Today,0,0,1,8
43,wingsuit flyer dives active volcano,USA Today,0,0,0,5
